,ep_score
2034,1000.0
2035,189.0
2036,927.0
2037,1000.0
2038,1000.0
2039,634.0
2040,617.0
2041,282.0
2042,1000.0
2043,1000.0
2044,1000.0
2045,1000.0
2046,1000.0
2047,237.0
2048,1000.0
2049,1000.0
2050,1000.0
2051,1000.0
2052,1000.0
2053,1000.0
2054,1000.0
2055,1000.0
2056,1000.0
2057,1000.0
2058,1000.0
2059,1000.0
2060,1000.0
2061,1000.0
2062,493.0
2063,243.0
2064,537.0
2065,621.0
2066,235.0
2067,941.0
2068,127.0
2069,748.0
2070,856.0
2071,1000.0
2072,292.0
2073,913.0
2074,369.0
2075,765.0
2076,225.0
2077,780.0
2078,247.0
2079,370.0
2080,166.0
2081,575.0
2082,1000.0
2083,761.0
2084,1000.0
2085,1000.0
2086,959.0
2087,1000.0
2088,1000.0
2089,1000.0
2090,1000.0
2091,568.0
2092,1000.0
2093,1000.0
2094,1000.0
2095,1000.0
2096,1000.0
2097,1000.0
2098,1000.0
2099,1000.0
